                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.50535,                0.54812,                0.57173,                0.99567,                0.72397,                 0.6905,                 0.6703,                0.42048,                0.72823,                0.68421,                0.66463,                0.42494,                 1.2544,                 3.7175,                 1.4291,                  1.861,              0.0006536,              0.0006536,              0.0006536
                     37,                0.45588,                 0.5355,                0.55726,                0.94599,                0.76386,                0.63158,                0.69578,                0.45893,                  0.831,                0.68421,                0.76459,                0.46847,                 1.1603,                 3.5519,                 1.3363,                 1.7354,               0.000614,               0.000614,               0.000614
                     38,                0.43278,                0.49476,                0.53365,                0.94753,                0.86919,                0.68421,                0.75965,                0.48107,                0.86919,                0.68421,                 0.8034,                0.48524,                 1.1753,                  3.837,                 1.3342,                 1.8214,              0.0005744,              0.0005744,              0.0005744
                     39,                0.46437,                0.54882,                0.57281,                0.95281,                0.78636,                0.68421,                0.71476,                0.42228,                0.78636,                0.68421,                 0.7291,                0.43841,                 1.3731,                 4.7149,                 1.4043,                 2.1282,              0.0005348,              0.0005348,              0.0005348
                     40,                0.46991,                 0.5127,                0.54112,                 0.9636,                0.80211,                0.68421,                0.71271,                0.40089,                0.84908,                0.68421,                0.69884,                0.42783,                 1.5184,                 4.5664,                 1.5486,                 2.2401,              0.0004952,              0.0004952,              0.0004952
                     41,                0.38301,                0.39824,                0.71182,                0.94774,                0.85525,                0.73684,                0.77267,                0.42112,                0.80519,                0.68421,                0.70869,                0.40541,                 1.5587,                 4.4519,                 1.7043,                 2.1545,              0.0004556,              0.0004556,              0.0004556
                     42,                0.38965,                 0.4023,                0.61147,                 0.9805,                0.92621,                0.73684,                0.78965,                0.43484,                0.78594,                0.63158,                0.63789,                0.40019,                 1.5144,                 4.1906,                 1.7331,                 2.1183,               0.000416,               0.000416,               0.000416
                     43,                0.36444,                0.36126,                0.59681,                0.95612,                0.84981,                0.68421,                0.77706,                0.42187,                0.91626,                0.73684,                0.81011,                0.40339,                 1.5782,                  4.136,                 1.5536,                 2.2022,              0.0003764,              0.0003764,              0.0003764
                     44,                0.35835,                0.34644,                0.58357,                0.95028,                0.75839,                0.82658,                0.79756,                0.46084,                0.75839,                0.82658,                0.79772,                 0.4213,                 1.6577,                 4.1284,                 1.4544,                 2.2166,              0.0003368,              0.0003368,              0.0003368
                     45,                0.33335,                0.34219,                0.51458,                0.93067,                0.81083,                0.78947,                0.81079,                0.49016,                0.87488,                0.84211,                0.88883,                0.47639,                 1.5444,                 4.1112,                 1.2594,                 2.1336,              0.0002972,              0.0002972,              0.0002972
                     46,                0.31028,                0.35156,                  0.494,                0.90998,                0.83984,                0.82853,                0.83264,                0.53414,                0.96938,                0.78947,                0.86807,                 0.4924,                 1.4048,                 4.0006,                 1.1736,                 2.0536,              0.0002576,              0.0002576,              0.0002576
                     47,                0.32332,                0.31047,                0.51028,                0.92482,                0.86385,                0.84211,                0.84158,                0.57326,                      1,                0.83775,                0.92352,                0.51869,                  1.284,                 3.8719,                 1.1879,                 1.8844,               0.000218,               0.000218,               0.000218
                     48,                0.31792,                   0.32,                0.47635,                0.92998,                0.94052,                0.83267,                0.86219,                0.57076,                      1,                0.88468,                 0.9286,                0.53405,                 1.2025,                 3.7456,                 1.2109,                 1.7914,              0.0001784,              0.0001784,              0.0001784
                     49,                0.31002,                 0.3239,                0.50189,                0.91256,                0.87602,                0.84211,                0.83655,                0.56283,                0.89326,                0.88146,                0.89417,                0.53157,                 1.1606,                 3.7204,                 1.1897,                 1.7469,              0.0001388,              0.0001388,              0.0001388
                     50,                0.27494,                0.29673,                0.46567,                0.87059,                0.88549,                0.84211,                0.85253,                0.56011,                0.83387,                0.89474,                0.88127,                0.52253,                 1.1251,                 3.7453,                 1.1534,                 1.7424,               9.92e-05,               9.92e-05,               9.92e-05
